Date_Scrap,Power Station,Plant Name,Location,Latitude,Longitude,Confidence_Location,Unit name,Status,Fuel(s),Capacity (MW),Technology,Start year,Retired year,Owner,URL,
1/23/2024,Mettur Thermal Power Station,Mettur Thermal Power Station,"Metturdam, Salem, Tamil Nadu, India",11.7744564,77.8172243,exact,Unit 5,operating,coal - bituminous,600,supercritical,2012,,Tamil Nadu Generation and Distribution Co Ltd (TANGEDCO) [100.0%],https://www.gem.wiki/Mettur_Thermal_Power_Station,
1/23/2024,Mettur Thermal Power Station,Mettur Thermal Power Station,"Metturdam, Salem, Tamil Nadu, India",11.7744564,77.8172243,exact,Unit 2,operating,coal - bituminous,210,subcritical,1987,,Tamil Nadu Generation and Distribution Co Ltd (TANGEDCO) [100.0%],https://www.gem.wiki/Mettur_Thermal_Power_Station,
1/23/2024,Mettur Thermal Power Station,Mettur Thermal Power Station,"Metturdam, Salem, Tamil Nadu, India",11.7744564,77.8172243,exact,Unit 4,operating,coal - bituminous,210,subcritical,1990,,Tamil Nadu Generation and Distribution Co Ltd (TANGEDCO) [100.0%],https://www.gem.wiki/Mettur_Thermal_Power_Station,
1/23/2024,Mettur Thermal Power Station,Mettur Thermal Power Station,"Metturdam, Salem, Tamil Nadu, India",11.7744564,77.8172243,exact,Unit 3,operating,coal - bituminous,210,subcritical,1989,,Tamil Nadu Generation and Distribution Co Ltd (TANGEDCO) [100.0%],https://www.gem.wiki/Mettur_Thermal_Power_Station,
1/23/2024,Mettur Thermal Power Station,Mettur Thermal Power Station,"Metturdam, Salem, Tamil Nadu, India",11.7744564,77.8172243,exact,Unit 1,operating,coal - bituminous,210,subcritical,1987,,Tamil Nadu Generation and Distribution Co Ltd (TANGEDCO) [100.0%],https://www.gem.wiki/Mettur_Thermal_Power_Station,
1/23/2024,MIHAN Power Project,MIHAN Power Project,"Khaire Khurd, Hingna, Nagpur, Maharashtra, India",21.0377,78.9334,exact,Unit 4,operating,coal - unknown,61.5,subcritical,2011,,Abhijeet Group [100.0%],https://www.gem.wiki/MIHAN_Power_Project,
1/23/2024,MIHAN Power Project,MIHAN Power Project,"Khaire Khurd, Hingna, Nagpur, Maharashtra, India",21.0377,78.9334,exact,Unit 1,operating,coal - unknown,61.5,subcritical,2011,,Abhijeet Group [100.0%],https://www.gem.wiki/MIHAN_Power_Project,
1/23/2024,MIHAN Power Project,MIHAN Power Project,"Khaire Khurd, Hingna, Nagpur, Maharashtra, India",21.0377,78.9334,exact,Unit 2,operating,coal - unknown,61.5,subcritical,2011,,Abhijeet Group [100.0%],https://www.gem.wiki/MIHAN_Power_Project,
1/23/2024,MIHAN Power Project,MIHAN Power Project,"Khaire Khurd, Hingna, Nagpur, Maharashtra, India",21.0377,78.9334,exact,Unit 3,operating,coal - unknown,61.5,subcritical,2011,,Abhijeet Group [100.0%],https://www.gem.wiki/MIHAN_Power_Project,
1/23/2024,Mohgaon power station,Mohgaon power station,"Mohgaon, Nainpur, Madla, Madhya Pradesh, India",22.43,80.12,approximate,Unit 2,cancelled,coal - unknown,500,unknown,,,Emami Cements [100.0%],https://www.gem.wiki/Mohgaon_power_station,
1/23/2024,Mohgaon power station,Mohgaon power station,"Mohgaon, Nainpur, Madla, Madhya Pradesh, India",22.43,80.12,approximate,Unit 1,cancelled,coal - unknown,500,unknown,,,Emami Cements [100.0%],https://www.gem.wiki/Mohgaon_power_station,
1/23/2024,Moma power station,Moma power station,"Moma, Lakhisarai, Bihar, India",25.17,86.09,approximate,Unit 1,cancelled,coal - unknown,1980,unknown,,,Hindustan Powerprojects Pvt Ltd (HPPPL) [100.0%],https://www.gem.wiki/Moma_power_station,
1/23/2024,Moser Baer Captive Power Project,Moser Baer Captive Power Project,"Kokhsa, Janjgir-Champa, Chhattisgarh, India",21.993352,82.615414,approximate,Unit 1,cancelled,coal - unknown,150,unknown,,,"Hindustan Powerprojects Pvt Ltd (HPPPL), PTC India",https://www.gem.wiki/Moser_Baer_Captive_Power_Project,
1/23/2024,Mota Layja power station,Mota Layja power station,"Mota Layja, Mandvi, Kutch, Gujarat, India",22.86,69.39,approximate,Unit 5,cancelled,coal - unknown,660,supercritical,,,Nana Layja Power Co Ltd [100.0%],https://www.gem.wiki/Mota_Layja_power_station,
1/23/2024,Mota Layja power station,Mota Layja power station,"Mota Layja, Mandvi, Kutch, Gujarat, India",22.86,69.39,approximate,Unit 1,cancelled,coal - unknown,660,supercritical,,,Nana Layja Power Co Ltd [100.0%],https://www.gem.wiki/Mota_Layja_power_station,
1/23/2024,Mota Layja power station,Mota Layja power station,"Mota Layja, Mandvi, Kutch, Gujarat, India",22.86,69.39,approximate,Unit 2,cancelled,coal - unknown,660,supercritical,,,Nana Layja Power Co Ltd [100.0%],https://www.gem.wiki/Mota_Layja_power_station,
1/23/2024,Mota Layja power station,Mota Layja power station,"Mota Layja, Mandvi, Kutch, Gujarat, India",22.86,69.39,approximate,Unit 4,cancelled,coal - unknown,660,supercritical,,,Nana Layja Power Co Ltd [100.0%],https://www.gem.wiki/Mota_Layja_power_station,
1/23/2024,Mota Layja power station,Mota Layja power station,"Mota Layja, Mandvi, Kutch, Gujarat, India",22.86,69.39,approximate,Unit 3,cancelled,coal - unknown,660,supercritical,,,Nana Layja Power Co Ltd [100.0%],https://www.gem.wiki/Mota_Layja_power_station,
1/23/2024,Mota Layja power station,Mota Layja power station,"Mota Layja, Mandvi, Kutch, Gujarat, India",22.86,69.39,approximate,Unit 6,cancelled,coal - unknown,660,supercritical,,,Nana Layja Power Co Ltd [100.0%],https://www.gem.wiki/Mota_Layja_power_station,
1/23/2024,MP Adani power station,MP Adani power station,"Madhya Pradesh, India",21.69,79.24,approximate,Unit 1,permitted,coal - unknown,660,supercritical,,,Pench Thermal Energy (MP) Ltd [100.0%],https://www.gem.wiki/MP_Adani_power_station,
1/23/2024,MP Adani power station,MP Adani power station,"Madhya Pradesh, India",21.69,79.24,approximate,Unit 2,permitted,coal - unknown,660,supercritical,,,Pench Thermal Energy (MP) Ltd [100.0%],https://www.gem.wiki/MP_Adani_power_station,
1/23/2024,MP Amarkantak power station,MP Amarkantak power station,"Chachai, Anuppur, Anuppur, Madhya Pradesh, India",23.162146,81.632816,exact,Unit 5,operating,coal - bituminous,210,subcritical,2009,,Madhya Pradesh Power Generating Co Ltd (MPPGCL) [100.0%],https://www.gem.wiki/MP_Amarkantak_power_station,
1/23/2024,MP Amarkantak power station,MP Amarkantak power station,"Chachai, Anuppur, Anuppur, Madhya Pradesh, India",23.162146,81.632816,exact,Unit 6,permitted,coal - bituminous,660,supercritical,2027,,"Madhya Pradesh Power Generating Co Ltd (MPPGCL), South Eastern Coalfields Ltd",https://www.gem.wiki/MP_Amarkantak_power_station,
1/23/2024,MP Amarkantak power station,MP Amarkantak power station,"Chachai, Anuppur, Anuppur, Madhya Pradesh, India",23.162146,81.632816,exact,Phase II Unit 3,retired,coal - bituminous,120,subcritical,1977,2015,Madhya Pradesh Power Generating Co Ltd (MPPGCL) [100.0%],https://www.gem.wiki/MP_Amarkantak_power_station,
1/23/2024,MP Amarkantak power station,MP Amarkantak power station,"Chachai, Anuppur, Anuppur, Madhya Pradesh, India",23.162146,81.632816,exact,Phase II Unit 4,retired,coal - bituminous,120,subcritical,1978,2014,Madhya Pradesh Power Generating Co Ltd (MPPGCL) [100.0%],https://www.gem.wiki/MP_Amarkantak_power_station,
1/23/2024,MP Amarkantak power station,MP Amarkantak power station,"Chachai, Anuppur, Anuppur, Madhya Pradesh, India",23.162146,81.632816,exact,Phase I Unit 1,retired,coal - bituminous,30,subcritical,,2009,Madhya Pradesh Power Generating Co Ltd (MPPGCL) [100.0%],https://www.gem.wiki/MP_Amarkantak_power_station,
1/23/2024,Mukerian power station,Mukerian power station,"Sandhwal, Mukerian, Hoshiapur, Punjab state, India",31.976137,75.739532,approximate,Unit 1,cancelled,coal - unknown,660,supercritical,2018,,Punjab State Power Corp Ltd (PSPCL) [100.0%],https://www.gem.wiki/Mukerian_power_station,
1/23/2024,Mukerian power station,Mukerian power station,"Sandhwal, Mukerian, Hoshiapur, Punjab state, India",31.976137,75.739532,approximate,Unit 2,cancelled,coal - unknown,660,supercritical,,,Punjab State Power Corp Ltd (PSPCL) [100.0%],https://www.gem.wiki/Mukerian_power_station,
1/23/2024,Mulajore power station,Mulajore power station,"Shyamnagar, Parganas Dist, West Bengal, India",22.8347,88.3813,exact,Unit 2,retired,coal - bituminous,30,subcritical,1940,2003,CESC Ltd (CESC) [100.0%],https://www.gem.wiki/Mulajore_power_station,
1/23/2024,Mulajore power station,Mulajore power station,"Shyamnagar, Parganas Dist, West Bengal, India",22.8347,88.3813,exact,Unit 4,retired,coal - bituminous,30,subcritical,1950,2003,CESC Ltd (CESC) [100.0%],https://www.gem.wiki/Mulajore_power_station,
1/23/2024,Mulajore power station,Mulajore power station,"Shyamnagar, Parganas Dist, West Bengal, India",22.8347,88.3813,exact,Unit 3,retired,coal - bituminous,30,subcritical,1943,2003,CESC Ltd (CESC) [100.0%],https://www.gem.wiki/Mulajore_power_station,
1/23/2024,Mulajore power station,Mulajore power station,"Shyamnagar, Parganas Dist, West Bengal, India",22.8347,88.3813,exact,Unit 1,retired,coal - bituminous,30,subcritical,1939,2003,CESC Ltd (CESC) [100.0%],https://www.gem.wiki/Mulajore_power_station,
1/23/2024,Mulajore power station,Mulajore power station,"Shyamnagar, Parganas Dist, West Bengal, India",22.8347,88.3813,exact,Unit 5,retired,coal - bituminous,30,subcritical,1951,2003,CESC Ltd (CESC) [100.0%],https://www.gem.wiki/Mulajore_power_station,
1/23/2024,Mulwad (Bijapur Luxor) power station,Mulwad (Bijapur Luxor) power station,"Mulwad, Basavana Bagewadi, Bijapur, Karnataka, India",16.554453,75.729033,exact,Unit 2,cancelled,coal - unknown,660,supercritical,,,Luxor Energy Pvt Ltd [100.0%],https://www.gem.wiki/Mulwad_(Bijapur_Luxor)_power_station,
1/23/2024,Mulwad (Bijapur Luxor) power station,Mulwad (Bijapur Luxor) power station,"Mulwad, Basavana Bagewadi, Bijapur, Karnataka, India",16.554453,75.729033,exact,Unit 1,cancelled,coal - unknown,660,supercritical,,,Luxor Energy Pvt Ltd [100.0%],https://www.gem.wiki/Mulwad_(Bijapur_Luxor)_power_station,
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase V Unit 12,cancelled,coal - bituminous,1000,supercritical,,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase II Unit 4,operating,coal - bituminous,330,subcritical,2010,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase V Unit 10,cancelled,coal - bituminous,1000,supercritical,,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase V Unit 11,cancelled,coal - bituminous,1000,supercritical,,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase III Unit 5,operating,coal - bituminous,660,supercritical,2010,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase I Unit 1,operating,coal - bituminous,330,subcritical,2009,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase III Unit 6,operating,coal - bituminous,660,supercritical,2011,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase IV Unit 9,operating,coal - bituminous,660,supercritical,2012,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase II Unit 3,operating,coal - bituminous,330,subcritical,2010,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase I Unit 2,operating,coal - bituminous,330,subcritical,2010,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase IV Unit 8,operating,coal - bituminous,660,supercritical,2012,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Mundra Thermal Power Project (Adani),Mundra Thermal Power Project (Adani),"Tunda, Mundra, Kutch, Gujarat, India",22.8235448,69.5574957,exact,Phase IV Unit 7,operating,coal - bituminous,660,supercritical,2011,,Adani Power Ltd [100.0%],https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),
1/23/2024,Murka power station,Murka power station,"Murka, Mau, Chitrakoot, Uttar Pradesh, India",25.19967,81.502182,approximate,Unit 2,cancelled,coal - unknown,300,unknown,,,Creative Thermolite Power Pvt Ltd [100.0%],https://www.gem.wiki/Murka_power_station,
1/23/2024,Murka power station,Murka power station,"Murka, Mau, Chitrakoot, Uttar Pradesh, India",25.19967,81.502182,approximate,Unit 1,cancelled,coal - unknown,300,unknown,,,Creative Thermolite Power Pvt Ltd [100.0%],https://www.gem.wiki/Murka_power_station,
1/23/2024,Muthukur Mandal power station (Painampuram),Muthukur Mandal power station (Painampuram),"Painampuram & Sivarampuram, Muthukur, Nellore, Andhra Pradesh, India",14.351195,80.143086,exact,Unit 2,operating,coal - unknown,660,supercritical,2017,,Sembcorp Energy India Ltd [100.0%],https://www.gem.wiki/Muthukur_Mandal_power_station_(Painampuram),
1/23/2024,Muthukur Mandal power station (Painampuram),Muthukur Mandal power station (Painampuram),"Painampuram & Sivarampuram, Muthukur, Nellore, Andhra Pradesh, India",14.351195,80.143086,exact,Unit 1,operating,coal - unknown,660,supercritical,2016,,Sembcorp Energy India Ltd [100.0%],https://www.gem.wiki/Muthukur_Mandal_power_station_(Painampuram),
1/23/2024,Mutiara Coastal Energen Thermal Power Plant,Mutiara Coastal Energen Thermal Power Plant,"Melamaruthur, Ottapidarum, Thoothukudi, Tamil Nadu, India",8.912716,78.144965,exact,Unit 2,operating,coal - unknown,600,subcritical,2016,,Coastal Energen Pvt Ltd [100.0%],https://www.gem.wiki/Mutiara_Coastal_Energen_Thermal_Power_Plant,
1/23/2024,Mutiara Coastal Energen Thermal Power Plant,Mutiara Coastal Energen Thermal Power Plant,"Melamaruthur, Ottapidarum, Thoothukudi, Tamil Nadu, India",8.912716,78.144965,exact,Unit 1,operating,coal - unknown,600,subcritical,2014,,Coastal Energen Pvt Ltd [100.0%],https://www.gem.wiki/Mutiara_Coastal_Energen_Thermal_Power_Plant,
1/23/2024,Mutiara Coastal Energen Thermal Power Plant,Mutiara Coastal Energen Thermal Power Plant,"Melamaruthur, Ottapidarum, Thoothukudi, Tamil Nadu, India",8.912716,78.144965,exact,Unit 4,cancelled,coal - unknown,800,supercritical,,,Coastal Energen Pvt Ltd [100.0%],https://www.gem.wiki/Mutiara_Coastal_Energen_Thermal_Power_Plant,
1/23/2024,Mutiara Coastal Energen Thermal Power Plant,Mutiara Coastal Energen Thermal Power Plant,"Melamaruthur, Ottapidarum, Thoothukudi, Tamil Nadu, India",8.912716,78.144965,exact,Unit 3,cancelled,coal - unknown,800,supercritical,,,Coastal Energen Pvt Ltd [100.0%],https://www.gem.wiki/Mutiara_Coastal_Energen_Thermal_Power_Plant,
